index,symbol,companyName,listedDate,floor,industryName
26,BST,Công ty Cổ phần Sách - Thiết bị Bình Thuận ,2008-12-18,HNX,Cửa hàng chuyên dụng
27,BTS,Công ty Cổ phần Xi măng Vicem Bút Sơn,2006-12-05,HNX,Vật liệu xây dựng
28,BTW,Công ty Cổ phần Cấp nước Bến Thành,2017-11-14,HNX,Nước
29,BVS,Công ty Cổ phần Chứng khoán Bảo Việt,2006-12-18,HNX,Dịch vụ đầu tư
30,BXH,Công ty Cổ phần Vicem Bao bì Hải Phòng,2009-11-25,HNX,Bao bì & đóng gói
31,C69,Công ty cổ phần Xây dựng 1369,2017-04-21,HNX,Xây dựng công trình
32,C92,Công ty Cổ phần Xây dựng và Đầu tư 492,2007-11-19,HNX,Xây dựng công trình
33,CAG,Công ty Cổ phần Cảng An Giang,2017-12-04,HNX,Dịch vụ vận tải
34,CAN,Công ty Cổ phần Đồ hộp Hạ Long,2009-06-12,HNX,Sản xuất thực phẩm
35,CAP,Công ty Cổ phần Lâm nông sản thực phẩm Yên Bái,2008-01-09,HNX,Giấy
36,CCR,Công ty Cổ phần Cảng Cam Ranh ,2021-11-19,HNX,Dịch vụ vận tải
37,CDN,Công ty Cổ phần Cảng Đà Nẵng,2016-11-30,HNX,Dịch vụ vận tải
38,CEO,Công ty Cổ phần Tập Đoàn C.E.O,2014-09-29,HNX,Đầu tư và phát triển bất động sản
39,CET,CÔNG TY CỔ PHẦN HTC HOLDING,2017-07-28,HNX,Hóa chất đặc biệt
40,CIA,Công ty Cổ phần Dịch vụ Sân bay Quốc tế Cam Ranh,2017-11-29,HNX,Dịch vụ vận tải
41,CJC,Công ty Cổ phần Cơ điện Miền Trung (CEMC),2006-12-14,HNX,Máy công nghiệp
42,CKV,Công ty Cổ phần COKYVINA ,2010-03-11,HNX,Thiết bị viễn thông
43,CLH,Công ty Cổ phần xi măng La Hiên - VVMI,2016-06-07,HNX,Vật liệu xây dựng
44,CLM,Công ty cổ phần Xuất nhập khẩu Than - Vinacomin,2016-04-15,HNX,Cung ứng
45,CMC,Công ty Cổ phần Đầu tư CMC ,2006-12-11,HNX,Xây dựng công trình
46,CMS,Công ty cổ phần CMVIETNAM,2010-11-29,HNX,Dịch vụ cung ứng lao động và đào tạo
47,CPC,Công ty Cổ phần Thuốc sát trùng Cần Thơ,2010-01-18,HNX,Hóa chất đặc biệt
48,CSC,Công ty cổ phần Tập đoàn COTANA,2009-11-04,HNX,Đầu tư và phát triển bất động sản
49,CTB,Công ty Cổ phần Chế tạo Bơm Hải Dương ,2006-10-10,HNX,Máy công nghiệp
