index,symbol,companyName,listedDate,floor,industryName
104,E1VFVN30,Quỹ ETF DCVFMVN30,2014-10-06,HOSE,Công cụ đầu tư cổ phần
105,EIB,Ngân hàng Thương mại Cổ phần Xuất nhập khẩu Việt Nam,2009-10-27,HOSE,Ngân hàng
106,ELC,Công ty Cổ phần Đầu tư Phát triển Công nghệ điện tử - Viễn thông ,2010-10-13,HOSE,Phần mềm
107,EMC,Công ty Cổ phần Cơ Điện Thủ Đức,2012-11-29,HOSE,Thiết bị điện
108,EVE,Công ty Cổ phần Everpia,2010-12-17,HOSE,Các sản phẩm gia dụng lâu bền
109,EVG,Công ty cổ phần Tập đoàn Everland,2017-06-08,HOSE,Vật liệu xây dựng
110,FCM,Công ty Cổ phần Khoáng sản FECON ,2013-05-15,HOSE,Khai khoáng nói chung
111,FCN,Công ty Cổ phần FECON,2012-07-24,HOSE,Xây dựng công trình
112,FDC,Công ty Cổ phần Ngoại thương và Phát triển Đầu tư Thành phố Hồ Chí Minh,2010-01-18,HOSE,Đầu tư và phát triển bất động sản
113,FIR,Công ty Cổ phần Địa ốc First Real,2018-10-18,HOSE,Đầu tư và phát triển bất động sản
114,FIT,Công ty cổ phần Tập đoàn F.I.T,2015-08-19,HOSE,Đầu tư và phát triển bất động sản
115,FLC,Công ty Cổ phần Tập đoàn FLC,2013-08-06,HOSE,Đầu tư và phát triển bất động sản
116,FMC,Công ty Cổ phần Thực phẩm Sao Ta ,2006-12-07,HOSE,Nông sản và thủy hải sản
117,FPT,Công ty Cổ phần FPT,2006-12-13,HOSE,Dịch vụ máy tính
118,FRT,Công ty cổ phần Bán lẻ Kỹ thuật số FPT,2018-04-26,HOSE,Cửa hàng chuyên dụng
119,FTM,Công ty Cổ phần Đầu tư và Phát triển Đức Quân,2017-02-06,HOSE,"Đồ may mặc, trang sức, phụ kiện"
120,FTS,Công ty Cổ phần Chứng khoán FPT,2017-01-13,HOSE,Dịch vụ đầu tư
121,FUCTVGF2,Quỹ Đầu tư Tăng trưởng Thiên Việt 2,2018-09-26,HOSE,Công cụ đầu tư cổ phần
122,FUCTVGF3,Quỹ đầu tư tăng trưởng Thiên Việt 3,2021-10-27,HOSE,Công cụ đầu tư cổ phần
123,FUCVREIT,Quỹ đầu tư bất động sản Techcom Việt Nam,2017-02-27,HOSE,Công cụ đầu tư cổ phần
124,FUEIP100,Quỹ ETF IPAAM VN100,2021-10-12,HOSE,Công cụ đầu tư cổ phần
125,FUESSV30,Quỹ ETF SSIAM VN30,2020-08-18,HOSE,0
126,FUESSV50,QUỸ ETF SSIAM VNX50,2017-10-24,HOSE,Công cụ đầu tư cổ phần
127,FUESSVFL,QUỸ ETF SSIAM VNFIN LEAD,2020-03-18,HOSE,Công cụ đầu tư cổ phần
128,FUEVFVND,Quỹ ETF DCVFMVN DIAMOND,2020-05-12,HOSE,Công cụ đầu tư cổ phần
129,FUEVN100,Công ty Cổ phần Quản lý Quỹ VinaCapital,2020-07-21,HOSE,Công cụ đầu tư cổ phần
