index,symbol,companyName,listedDate,floor,industryName
430,LNC,Công ty cổ phần Lệ Ninh,2019-07-04,UPCOM,Chế phẩm từ gỗ
431,LO5,Công ty Cổ phần Lilama 5 ,2021-05-13,UPCOM,Xây dựng công trình
432,LPT,Công ty cổ phần Thương mại và Sản xuất Lập Phương Thành,2021-04-08,UPCOM,Dịch vụ cung ứng lao động và đào tạo
433,LQN,Công ty cổ phần LICOGI Quảng Ngãi,2016-11-01,UPCOM,Xây dựng công trình
434,LTC,Công ty Cổ phần Điện nhẹ Viễn thông,2019-07-05,UPCOM,Thiết bị viễn thông
435,LTG,Công ty Cổ phần Tập đoàn Lộc Trời,2017-07-24,UPCOM,Hóa chất đặc biệt
436,LWS,Công ty cổ phần Cấp nước tỉnh Lào Cai,2017-12-22,UPCOM,Nước
437,LYF,Công ty Cổ phần Lương Thực Lương Yên,2021-05-19,UPCOM,Sản xuất thực phẩm
438,M10,Tổng công ty May 10 - Công ty Cổ phần,2018-01-10,UPCOM,"Đồ may mặc, trang sức, phụ kiện"
439,MA1,CÔNG TY CỔ PHẦN THIẾT BỊ,2020-06-29,UPCOM,Thiết bị điện
440,MBN,Công ty cổ phần Môi trường và Công trình đô thị Bắc Ninh,2018-10-03,UPCOM,Dịch vụ xử lý phế liệu phế thải
441,MC3,Công ty cổ phần Khoáng sản 3 - Vimico,2017-06-14,UPCOM,Khai khoáng nói chung
442,MCH,Công ty cổ phần Hàng Tiêu Dùng Masan,2017-01-05,UPCOM,Sản xuất thực phẩm
443,MCI,Công ty Cổ phần Đầu tư Xây dựng và Phát triển Vật liệu IDICO,2015-09-08,UPCOM,Vật liệu xây dựng
444,MCM,CÔNG TY CỔ PHẦN GIỐNG BÒ SỮA MỘC CHÂU,2020-12-18,UPCOM,Sản xuất thực phẩm
445,MCT,Công ty cổ phần Kinh doanh vật tư và Xây dựng,2017-01-04,UPCOM,Xây dựng công trình
446,MDA,Công ty cổ phần Môi trường Đô thị Đông Anh,2018-01-10,UPCOM,Dịch vụ xử lý phế liệu phế thải
447,MDF,Công ty Cổ phần Gỗ MDF VRG - Quảng Trị,2011-02-25,UPCOM,"Đồ đạc, nội thất"
448,MEC,Công ty Cổ phần cơ khí - lắp máy Sông Đà,2020-06-02,UPCOM,Xây dựng công trình
449,MEF,Công ty Cổ phần MEINFA,2011-11-30,UPCOM,Thiết bị y tế
450,MEG,CÔNG TY CỔ PHẦN MEGRAM,2019-09-09,UPCOM,Bán lẻ dụng cụ gia đình
451,MES,Công ty Cổ phần Cơ điện Công trình,2016-12-12,UPCOM,Vật liệu xây dựng
452,MFS,Công ty cổ phần Dịch vụ kỹ thuật Mobifone,2019-04-16,UPCOM,Dịch vụ viễn thông di động
453,MGC,Công ty cổ phần Địa chất mỏ - TKV,2016-06-09,UPCOM,Than đá
454,MGG,Tổng công ty Đức Giang - Công ty cổ phần,2017-11-06,UPCOM,"Đồ may mặc, trang sức, phụ kiện"
455,MH3,Công ty cổ phần Khu công nghiệp Cao su Bình Long,2017-03-06,UPCOM,Đầu tư và phát triển bất động sản
456,MIC,Công ty Cổ phần Kỹ nghệ khoáng sản Quảng Nam,2015-01-12,UPCOM,Khai khoáng nói chung
457,MIE,Tổng Công ty Máy và Thiết bị Công nghiệp - CTCP,2017-12-15,UPCOM,Vật liệu xây dựng
458,MKP,Công ty Cổ phần Hóa - Dược phẩm Mekophar,2018-01-29,UPCOM,Dược phẩm
459,MLC,Công ty Cổ phần Môi trường Đô thị tỉnh Lào Cai,2017-05-23,UPCOM,Dịch vụ xử lý phế liệu phế thải
460,MLS,Công ty Cổ phần Chăn nuôi - Mitraco,2018-06-15,UPCOM,Nông sản và thủy hải sản
461,MML,Công ty Cổ phần Masan MEATLife,2019-12-09,UPCOM,Sản xuất thực phẩm
462,MNB,Tổng công ty May Nhà Bè - Công ty cổ phần,2018-04-24,UPCOM,"Đồ may mặc, trang sức, phụ kiện"
463,MND,Công ty Cổ phần Môi trường Nam Định,2017-08-11,UPCOM,Dịch vụ xử lý phế liệu phế thải
464,MPC,Công ty cổ phần Tập đoàn Thủy sản Minh Phú,2017-10-16,UPCOM,Nông sản và thủy hải sản
465,MPT,Công ty Cổ phần tập đoàn MPT,2021-06-02,UPCOM,"Đồ may mặc, trang sức, phụ kiện"
466,MPY,Công ty Cổ phần Môi trường đô thị Phú Yên,2017-05-15,UPCOM,Dịch vụ xử lý phế liệu phế thải
